deck,name,lat,lng,country,state,wordCount,date,link
Buyer beware: sustainable seafood programs can’t guarantee ocean-friendly choices.,The Ecolabel Fable,,,,,"4,500 words, about 23 minutes",2017-11-07T00:05:32,https://hakaimagazine.com/features/ecolabel-fable/
"Hard working and tough as nails, Grace Brush did what others couldn’t—she teased out the mystery of the Chesapeake Bay.",The Scientist Who Reads a Lost History in the Mud,38.115824,-76.19114,,,,2017-11-01T00:01:49,https://hakaimagazine.com/features/scientist-who-reads-lost-history-mud/
"As a massive dam nears completion in Turkey, residents downriver in the idyllic Mesopotamian Marshes prepare to see their homeland destroyed—again.",Damming Eden,30.942665,46.985561,,,,2017-10-24T00:05:19,https://hakaimagazine.com/features/damming-eden/
"Once feared, vilified, and exterminated, the wolves of Vancouver Island face an entirely different threat: our fascination, our presence, and our selfies.",Death of a Modern Wolf,48.993137,-125.624496,,,"4,300 words, about 22 minutes",2017-10-17T00:05:44,https://hakaimagazine.com/features/death-modern-wolf/
"In the 20th century, Japanese anthropologists and officials tried to hide the existence of the Indigenous Ainu. Then the Ainu fought back like their cousins, the bears.",From Prejudice to Pride,45.430999,141.017937,,,"6,300 words, about 31 minutes",2017-10-10T00:05:51,https://hakaimagazine.com/features/prejudice-pride/
The sea suffers for fashion. Kombucha leather and leased jeans to the rescue.,Saving the Ocean One Outfit at a Time,,,,,"2,900 words, about 15 minutes",2017-09-26T00:05:42,https://hakaimagazine.com/features/saving-ocean-one-outfit-time/
"Giving Mexico’s rarest porpoise, the vaquita, a fighting chance in the face of poverty, corruption, and greed.",Avoiding Extinction,31.023291,-114.83285,,,"4,800 words, about 24 minutes",2017-09-20T00:03:07,https://hakaimagazine.com/features/avoiding-extinction/
Our insatiable need for concrete has led to destructive mining around the world. How can we do it better?,Sand? Mine!,50.588113,-127.148157,,,,2017-09-13T00:05:57,https://hakaimagazine.com/features/sand-mine/
"It hasn’t always been smooth sailing, but British Columbia’s coastal First Nations are joining forces to safeguard the coast.",Guardians of the Coast,53.322607,-129.1793,,,,2017-09-05T00:00:00,https://hakaimagazine.com/features/guardians-coast/
Baleen whales carry their medical records in their mouths.,The Oral History of Toothless Whales,,,,,,2017-08-29T00:00:00,https://hakaimagazine.com/features/oral-history-toothless-whales/
Why humpback whales rescue seals and why volunteering for beach cleanups improves your health.,The Power of Compassion,,,,,,2017-08-15T00:00:00,https://hakaimagazine.com/features/power-compassion/
Braving an Antarctic winter to catch Chilean sea bass in the act.,Peeping in on the Mile Deep Club,-75.4585,-175.7662,,,,2017-08-08T00:00:00,https://hakaimagazine.com/features/peeping-mile-deep-club/
A maverick scientist claims she has done what scores of researchers before her failed to do: solve the century-old mystery of why a legendary Civil War submarine sank.,Blasting Through the Hunley Mystery,35.996886,-78.94874,,,"2,900 words, about 15 minutes",2017-08-01T00:00:00,https://hakaimagazine.com/features/blasting-through-hunley-mystery/
Internet death threats hound a young Alaskan after a successful hunt.,A Teen Whaler in the Age of Cyberbullies,63.779447,-171.7301,,,,2017-07-20T00:00:00,https://hakaimagazine.com/features/teen-whaler-age-cyberbullies/
"Fleeing the Irish Famine, some immigrants brought their islands with them to North America.",Hunger’s Children,53.616517,-10.20045,,,,2017-07-18T00:00:00,https://hakaimagazine.com/features/hungers-children/
All of them—which makes conservation difficult when your neighbors keep poaching.,How Many Countries Does it Take to Save a Fish?,16.896231,-87.7099,,,,2017-07-11T00:00:00,https://hakaimagazine.com/features/how-many-countries-does-it-take-save-fish/
Our oceans contain enough energy to power the planet—if we could just get our hands on it.,Watts in the Water,,,,,"5,000 words, about 25 minutes",2017-06-27T00:05:07,https://hakaimagazine.com/features/watts-water/
"From the Shark Lady to refugees who traveled by sea, this season’s stories are sure to inspire.",Coastal Books to Keep the Kids Busy This Summer,,,,,,2017-06-15T00:00:00,https://hakaimagazine.com/features/coastal-books-keep-kids-busy-summer/
The moon influences life in a surprising and subtle way: with its light.,The Lunar Sea,,,,,,2017-06-13T00:05:10,https://hakaimagazine.com/features/lunar-sea/
"Tireless in her quest, ethnobotanist Nancy Turner works with indigenous elders to preserve plant knowledge dating back to the First People in the New World.",In the Land of Lost Gardens,48.463242,-123.3124,,,,2017-06-06T00:00:00,https://hakaimagazine.com/features/land-lost-gardens/
Chucking chum and coho carcasses into a salmon-spawning stream supports more than just an ecosystem.,Throwing Dead Fish for Fun and Ecological Profit,48.49323,-123.3342,,,,2017-06-01T00:00:00,https://hakaimagazine.com/features/throwing-dead-fish-fun-and-ecological-profit/
"While dragons and other mythical beasts marked the charts of early mariners, Renaissance maps were illustrated with images—part fantasy and part fact—of polar bears.",Here Be White Bears,,,,,,2017-05-30T00:00:00,https://hakaimagazine.com/features/here-be-white-bears/
"An unusual New York City public high school where the school bus is a ferry, teachers are called crew, and some classes are held underwater is engaging city kids with hands-on marine learning.",When New York Harbor Is Your Classroom,40.690789,-74.02023,,,,2017-05-25T00:00:00,https://hakaimagazine.com/features/when-new-york-harbor-your-classroom/
"How shellfish farmers are leaning on genes to unmask the secrets of mussels, scallops, and oysters.",The Shellfish Gene,50.095091310422305,-125.19719123840332,,,"2,200 words, about 11 minutes",2017-05-23T00:05:07,https://hakaimagazine.com/features/shellfish-gene/
"Indonesia’s reefs have been poisoned or blasted to smithereens by the very people who depend on them the most. Now islanders are working to restore the coral, and recover the resources they’ve lost, piece by piece.",Reef Avengers,-5.185705,119.33624,,,"2,200 words, about 11 minutes",2017-05-16T00:00:00,https://hakaimagazine.com/features/reef-avengers/
"In the Pacific Northwest, the diligence of citizen scientists is shedding light on the lives, and deaths, of seabirds.","Drawing Meaning from Death, One Seabird at a Time",48.275414,-124.6799,,,,2017-05-02T00:00:00,https://hakaimagazine.com/features/drawing-meaning-death-one-seabird-time/
"For 70 years, Iceland has kept afloat the idea that mandatory swimming lessons save lives, but the policy doesn’t hold water.",Pool-landia,64.130654,-21.8218,,,,2017-04-11T00:00:00,https://hakaimagazine.com/features/pool-landia/
A nascent environmental movement is liberating rivers and freeing fish.,Dam Busters,41.572213,-72.33267,,,,2017-04-04T00:00:00,https://hakaimagazine.com/features/dam-busters/
"Plastic marine debris is one of the world’s newest ecosystems, and scientists have just begun to understand how microbes are settling into their new island homes.",Journey into the Plastisphere,41.524043,-70.67126,,,"1,600 words, about 8 minutes",2017-03-29T00:00:00,https://hakaimagazine.com/features/journey-plastisphere/
Home aquariums were the newest fad in the natural history-crazed Victorian era. Philip Henry Gosse wrote about it in the <em>Atlantic Monthly</em>.,An Ocean in the Parlor,,,,,,2017-03-24T00:00:00,https://hakaimagazine.com/features/ocean-parlor/
"As Westerners condemn live whale shows, Russia hunts and sells killer whales to Chinese amusement parks.",For Sale: Wild Russian Killer Whales,61.52401,105.31875600000001,,,"2,300 words, about 16 minutes",2017-03-21T00:00:00,https://hakaimagazine.com/features/sale-wild-russian-killer-whales/
"The grim curios and taxidermic creations housed in the US wildlife repository provide clues about trends in wildlife smuggling. And in recent years, coastal species from Latin America have been showing up en masse.",The Little Shop of Wildlife Horrors,40.052888,-105.0353,,,,2017-03-14T00:00:00,https://hakaimagazine.com/features/little-shop-wildlife-horrors/
How a toxic debate over the first Americans hobbled science for decades.,From Vilified to Vindicated: the Story of Jacques Cinq-Mars,64.1353,-140.5186,,,"2,900 words, about 15 minutes",2017-03-07T00:00:00,https://hakaimagazine.com/features/vilified-vindicated-story-jacques-cinq-mars/
"Butchered whales lure polar bears and tourists to a coastal Alaskan town. So far, so good. Sort of.",The Bounty of the Bone Pile,70.132584,-143.6163,,,"2,400 words, about 12 minutes",2017-02-27T00:00:00,https://hakaimagazine.com/features/bounty-bone-pile/
A team of scientists and land managers is racing to save a butterfly that depends on fragile coastal habitat.,Saving the Silverspot,45.51031684211515,-122.71608352661133,,,,2017-02-21T00:00:00,https://hakaimagazine.com/features/saving-silverspot/
"Sand covering the sanctuary floor in a Curaçao synagogue muffles sound, but speaks volumes to the history of Judaism in the Caribbean.",A Synagogue with a Floor of Sand,12.105073,-68.93269,,,,2017-02-20T00:00:00,https://hakaimagazine.com/features/synagogue-floor-sand/
"In a Washington State lake, two of the most globally invasive crayfish species are duking it out. Should we step in?",Pinch Me,47.587373,-122.0421,,,,2017-02-17T00:00:00,https://hakaimagazine.com/features/pinch-me/
"Ever heard of Arctic hysteria? Neither did this Danish-Greenlandic artist until 1995, and then she forever changed the way we view Arctic explorers.",The Unforgettable Pia Arke,70.484545,-21.96706,,,,2017-02-14T00:00:00,https://hakaimagazine.com/features/unforgettable-pia-arke/
Charles Francis Hall had the courage to explore the Arctic—and the savvy to get the wealthy to pay for it.,How to Fund an Expedition,,,,,"1,100 words, about 6 minutes",2017-01-31T00:00:00,https://hakaimagazine.com/features/how-fund-expedition/
One of Canada’s more northerly communities reinvents its relationship with a thawing landscape.,People of the Sea Ice See Cracks Forming,56.541053,-61.69216,,,,2017-01-24T00:00:00,https://hakaimagazine.com/features/people-sea-ice-see-cracks-forming/
Hunting and eating puffins are Icelandic traditions. But for how much longer?,The Uncertain Future of Puffin for Dinner,66.54235,-17.99611,,,"3,700 words, about 19 minutes",2017-01-17T00:00:00,https://hakaimagazine.com/features/uncertain-future-puffin-dinner/
"Since his release from prison in the 1980s, Carlos Rafael has ruthlessly run his Massachusetts seafood business with little regard for the law. But is there any other way to survive the gauntlet of restrictions on the New England fishing industry?",The Last Trial of the Codfather,41.613699,-70.92271,,,"5,000 words, about 25 minutes",2017-01-10T00:11:00,https://hakaimagazine.com/features/last-trial-codfather/
The unsettling disappearance of a fisheries observer sparks questions about safety on the high seas and the fate of the fish stocks observers attempt to monitor.,The Mysterious Disappearance of Keith Davis,,,,,"4,500 words, about 23 minutes",2017-01-04T00:00:00,https://hakaimagazine.com/features/mysterious-disappearance-keith-davis/
Clearing tonnes of plastic debris off beaches is only the first step—then comes the conundrum of what to do with it all.,The Big Sort,49.282916,-123.1325,,,,2016-12-19T00:00:00,https://hakaimagazine.com/features/big-sort/
"The people of Newfoundland and Labrador revive an eccentric tradition that’s part Christmas, part Halloween, to celebrate the holidays.",Return of the Mummers,47.598686,-52.6965,,,"2,900 words, about 15 minutes",2016-12-06T00:00:00,https://hakaimagazine.com/features/return-mummers/
"These infamous clams are invading new areas, buoyed by climate change and the 2011 tsunami in Japan.",The Clam That Sank a Thousand Ships,42.251418,-124.413,,,"3,500 words, about 18 minutes",2016-12-05T00:00:00,https://hakaimagazine.com/features/clam-sank-thousand-ships/
Greenpeace and movie stars mend fences with a Nunavut hamlet as it heads to the Canadian Supreme Court.,An Act of Forgiveness Fuels a Fight in the Arctic,70.473131,-68.57331,,,"2,200 words, about 11 minutes",2016-11-29T00:05:00,https://hakaimagazine.com/features/act-forgiveness-fuels-fight-arctic/
A flawed environmental impact assessment may have consequences for the western sandpiper.,The Questionable Science of Vancouver’s Port Expansion,49.021066,-123.1571,,,"5,500 words, about 28 minutes",2016-11-28T00:00:00,https://hakaimagazine.com/features/questionable-science-vancouvers-port-expansion/
A renegade biologist is challenging a millennium of German dike-building tradition.,Battling the Dike Mafia,54.927779,8.316808,,,,2016-11-25T00:00:00,https://hakaimagazine.com/features/battling-dike-mafia/
Choose downtime over screen time during the holidays with engaging reads that explore diversity in coastal environments and in people.,New Coastal Books for Curious Kids,,,,,,2016-11-21T00:00:00,https://hakaimagazine.com/features/new-coastal-books-curious-kids/
Could the survival of millions of migrating shorebirds depend on the preservation of humble marine biofilm?,"Slime, Shorebirds, and a Scientific Mystery",49.056401,-123.1467,,,"3,000 words, about 15 minutes",2016-11-15T00:11:00,https://hakaimagazine.com/features/slime-shorebirds-and-scientific-mystery/
At least one million tonnes of chemical weapons were dumped in the oceans between 1919 and 1980. Now what?,Weapons of War Litter the Ocean Floor,56.377948,19.455506,,,"3,000 words, about 15 minutes",2016-11-10T00:05:00,https://hakaimagazine.com/features/weapons-war-litter-ocean-floor/
"Some sources insist that most birds affected by an oil spill will die prematurely, even if they’ve been carefully cleaned. Two experts weigh in on why the effort of treating oiled animals is still worthwhile.",Saving Birds from Oil Spills,,,,,,2016-11-08T00:00:00,https://hakaimagazine.com/features/saving-birds-oil-spills/
"As sea ice changes and the Northwest Passage becomes accessible, a luxury cruise ship descends on the small community of Ulukhaktok.",Cruising into the Arctic’s Open Arms,70.729397,-117.7748,,,,2016-11-01T00:00:00,https://hakaimagazine.com/features/cruising-arctics-open-arms/
"Maine scallops are delicious, but lobsters get all the glory. One woman is on a quest to change that.",Elevating the Maine Scallop to Haute Cuisine,44.521488,-68.33868,,,"2,500 words, about 13 minutes",2016-10-25T00:11:00,https://hakaimagazine.com/features/elevating-maine-scallop-haute-cuisine/
A controversial plan for a tourist attraction sparks questions about South Australia’s celebrated tuna ranching industry.,Swimming with Tuna,-35.54778,138.61366,,,,2016-10-18T00:11:00,https://hakaimagazine.com/features/swimming-tuna/
"In Madagascar’s Bay of Assassins, villagers balance mangrove use and conservation. How much longer can they do it?",A Burning Problem For Mangroves,-22.21113,43.289694,,,,2016-10-11T00:11:00,https://hakaimagazine.com/features/burning-problem-mangroves/
Operation Green Turtle was considered one of the most audacious failures in the history of conservation biology—until a stunning nest inspired scientists to reconsider its legacy<em>.</em>,The Curious Case of Bermuda’s Mysterious Turtle,32.388583,-64.67213,,,,2016-10-04T00:11:00,https://hakaimagazine.com/features/curious-case-bermudas-mysterious-turtle/
A remote Arctic land may hold a vital missing chapter from human history. The only problem? It disappeared at the end of the last ice age.,A Sunken Bridge the Size of a Continent,64.964941,-169.2785,,,"3,000 words, about 15 minutes",2016-09-20T00:00:00,https://hakaimagazine.com/features/sunken-bridge-size-continent/
Scientists in the emerging field of conservation paleobiology believe that the key to oyster conservation could be contained in ancient shells.,What the Ancient Oyster Knows,41.2959908,-72.5754149,,,"1,600 words, about 8 minutes",2016-09-13T00:05:00,https://hakaimagazine.com/features/what-ancient-oyster-knows/
"In New Zealand, sooty shearwater populations are being restored with the collective knowledge of Māori harvesters and seabird researchers.","Fast Bird, Slow Food",-46.86478,168.26227,,,"1,700 words, about 9 minutes",2016-08-23T00:00:00,https://hakaimagazine.com/features/fast-bird-slow-food/
"As the climate changes, the Arctic Ocean beckons Pacific salmon and other species. How will we fish responsibly?","Welcome to the Arctic, Fish",84.90723,-108.2112,,,,2016-08-16T00:00:00,https://hakaimagazine.com/features/welcome-arctic-fish/
"Forget rubbing elbows with the rich and famous, you’re more likely to get Lyme disease on the island.",Ticked Off on Martha’s Vineyard,41.387649,-70.63563,,,"4,200 words, about 21 minutes",2016-08-09T00:00:00,https://hakaimagazine.com/features/ticked-marthas-vineyard/
"Before the games even begin in Brazil’s most famous coastal city, there are winners and losers.","Rio, the Olympics, and Broken Promises",-23.00738,-43.34026,,,,2016-07-19T00:00:00,https://hakaimagazine.com/features/rio-olympics-and-broken-promises/
Why do we pretend to clean up oil spills in the ocean?,The Oil Spill Cleanup Illusion,,,,,,2016-07-12T00:00:00,https://hakaimagazine.com/features/oil-spill-cleanup-illusion/
Natalie Goodall built a museum for rare marine mammals in one of the world’s least likely places for a scientific institution.,The Museum at the End of the World,-54.87418,-67.33198,,,,2016-07-05T00:00:00,https://hakaimagazine.com/features/museum-end-world/
"Caught between depleted stocks, collapsing prices, and commercial trawlers, small-scale fishermen join forces to create new niche markets for their sustainably harvested product. Can they succeed?",United We Fish!,42.971986,-69.33415,,,"3,900 words, about 20 minutes",2016-06-28T00:00:00,https://hakaimagazine.com/features/united-we-fish/
Researchers are working to fast-track evolution to help corals face a changing ocean.,Breeding the Ubercoral,21.434613,-157.7885,,,"2,900 words, about 15 minutes",2016-06-21T00:00:00,https://hakaimagazine.com/features/breeding-ubercoral/
"In West Africa, the sawfish was once a source of cultural pride and power. What happens to traditional African cultures as it disappears?",Twilight for the Sawfish,13.539200668930814,-17.64404296875,,,"3,300 words, about 17 minutes",2016-06-14T00:00:00,https://hakaimagazine.com/features/twilight-sawfish/
"The trailblazing botanist established the Minnesota Seaside Station, on Vancouver Island’s Botanical Beach, and inspired generations of female scientists.",The Enduring Legacy of Josephine Tilden,48.529212,-124.45,,,,2016-06-13T00:00:00,https://hakaimagazine.com/features/enduring-legacy-josephine-tilden/
"From sunny beaches to the icy Arctic, this collection of coastal books takes young readers on great adventures.",Summer Reads for Kids of All Ages,,,,,,2016-06-10T00:00:00,https://hakaimagazine.com/features/summer-reads-kids-all-ages/
Sharing uplifting news of resilience and recovery fuels hope.,The Rise of Ocean Optimism,,,,,,2016-06-08T00:00:00,https://hakaimagazine.com/features/rise-ocean-optimism/
A Cree man’s life-changing journey through Inuit territory.,A Healing Walk on Arctic Ice,55.269409,-77.80076,,,,2016-06-06T00:00:00,https://hakaimagazine.com/features/healing-walk-arctic-ice/
"Government regulations forced the Yup’ik to give up their semi-nomadic existence. Now, as the land around them vanishes, they’re puzzling through the problem of moving.",Evicted by Climate Change,60.93612,-164.6342,,,"4,000 words, about 20 minutes",2016-06-01T00:00:00,https://hakaimagazine.com/features/evicted-climate-change/
Forget the engines: shore-based whale watching takes off.,On the Trail of Whales,48.650182,-123.3926,,,,2016-05-24T00:00:00,https://hakaimagazine.com/features/trail-whales/
"Illuminating maps during war, guiding planes to safety, making genes and proteins visible—organisms get their glow on to help humans.",The Secret History of Bioluminescence,,,,,,2016-05-10T00:11:00,https://hakaimagazine.com/features/secret-history-bioluminescence/
"When <em>Finding Nemo</em> was released, clownfish became the latest trendy pet. Now, as <em>Finding Dory</em> is about to hit the big screen, researchers race to grow captive-bred blue tangs to protect those in the wild.",Breeding Dory,,,,,,2016-05-03T00:11:00,https://hakaimagazine.com/features/breeding-dory/
"In the Northern Territory of Australia, policymakers and biologists managed the impossible—making the benefits of living with a booming population of deadly crocodiles outweigh the risks. But when two apex predators must share coastal resources, there’s bound to be conflict.",Crocodiles Rising,-12.47201,130.84987,,,"7,000 words, about 35 minutes",2016-04-28T00:00:00,https://hakaimagazine.com/features/crocodiles-rising/
"In India’s Gulf of Kutch, a migratory community of fishers tries to maintain access to the coastline that sustains them.",The Ultra Mega Powerless Take On the Ultra Mega Power Plants,22.744068,69.609041,,,,2016-04-26T00:00:00,https://hakaimagazine.com/features/ultra-mega-powerless-take-ultra-mega-power-plants/
A communist city struggles to lure foreign money and rebuild its failing infrastructure without sacrificing its revolutionary roots.,Havana: Some Assembly Required,23.099692,-82.35885,,,"3,400 words, about 17 minutes",2016-04-22T00:00:00,https://hakaimagazine.com/features/havana-some-assembly-required/
How redeveloping neighborhoods in Haifa threatens its unique reputation for tolerance in a divisive country.,"Will Clashing Visions End the Harmony in Haifa, Israel?",32.808548,35.000739,,,,2016-04-19T00:00:00,https://hakaimagazine.com/features/will-clashing-visions-end-harmony-haifa-israel/
"In a South African fishing village, market forces maintain segregation long after the old race-based laws have gone.",The Real Estate Apartheid,-32.8123,17.89458,,,,2016-04-18T00:00:00,https://hakaimagazine.com/features/real-estate-apartheid/
"The US military finds a surprising adversary on a small, strategic island in the East China Sea.",Okinawa’s Elders Rage Against the Marines,26.539662,128.05017,,,"3,700 words, about 19 minutes",2016-04-12T00:00:00,https://hakaimagazine.com/features/okinawas-elders-rage-against-marines/
Clinging to the liveaboard life in one of the world’s most expensive cities.,Vancouver’s Other Housing Crisis,49.280694,-123.1467,,,,2016-04-11T00:00:00,https://hakaimagazine.com/features/vancouvers-other-housing-crisis/
"The rich, the poor, and the battle for the Bay of Naples.",How Ancient Rome’s 1% Hijacked the Beach,40.741112,14.451174,,,,2016-04-05T00:33:00,https://hakaimagazine.com/features/how-ancient-romes-1-hijacked-beach/
"Squabbling over some of the world’s most valuable territory, the shoreline, is ultimately a very human thing to do.",Who Controls the Coast?,,,,,,2016-04-05T00:00:00,https://hakaimagazine.com/features/who-controls-coast/
"Coastal communities don’t always realize their sea cucumbers are targets of a voracious, international fishery until it’s too late.",The Sea Cucumber’s Vanishing Act,20.779658,-156.4959,,,"2,100 words, about 11 minutes",2016-03-30T00:00:00,https://hakaimagazine.com/features/sea-cucumbers-vanishing-act/
"As science fills gaps in knowledge, do we lose our sense of wonder?",The Sadness of Solving a Mystery,-45.77586,170.7293,,,"1,400 words, about 7 minutes",2016-03-22T00:00:00,https://hakaimagazine.com/features/sadness-solving-mystery/
"A dive pioneer and a dedicated taxonomist for over 70 years, it’s doubtful there is anyone who knows more about fish than Hawaii’s Jack Randall.",Dr. Fish,21.532554,-157.9907,,,,2016-03-15T00:05:00,https://hakaimagazine.com/features/dr-fish/
"Long before texts or email, sailors sent messages using rocks. Yes, rocks.",Message in a Boulder,-15.4801,49.767492,,,,2016-03-14T00:00:00,https://hakaimagazine.com/features/message-boulder/
Advances in genetic technology will make us all DNA detectives.,Seafood CSI,,,,,"4,000 words, about 20 minutes",2016-03-08T00:00:00,https://hakaimagazine.com/features/seafood-csi/
Reconstructing a blue whale skeleton is an art form—so is keeping it clean.,The Art of Bones,49.263639,-123.25,,,,2016-03-04T00:00:00,https://hakaimagazine.com/features/art-bones/
Sugarcane on Sapelo Island was once tended by slaves. Now it might sustain their descendants and help keep Geechee culture alive.,Southern Sugarcane Revival,31.428669,-81.26856,,,,2016-03-01T00:00:00,https://hakaimagazine.com/features/southern-sugarcane-revival/
"The fleece that launched 1,000 ships.","No Wool, No Vikings",63.582456,9.17818,,,,2016-02-23T00:00:00,https://hakaimagazine.com/features/no-wool-no-vikings/
As the Comox Glacier disappears so does part of the local culture.,The Whale Dying on the Mountain,49.675486,-125.1618,,,,2016-02-16T00:00:00,https://hakaimagazine.com/features/whale-dying-mountain/
Ecology is only part of the equation when it comes to understanding bluefin tuna.,Cracking Open the Tuna Code,36.61899,-121.9027,,,"2,300 words, about 12 minutes",2016-02-09T00:11:00,https://hakaimagazine.com/features/cracking-open-tuna-code/
Archaeologists are forced to choose what to save as their dig sites disappear into the Arctic Ocean.,History Is Melting,71.288297,-156.7763,,,,2016-01-26T00:00:00,https://hakaimagazine.com/features/history-melting/
Lost fishing gear keeps on doing the job it was designed for long after its owners are gone.,The Ghosts of Fishers Past,,,,,,2016-01-22T00:00:00,https://hakaimagazine.com/features/ghosts-fishers-past/
"Sharks aren’t primitive, and they aren’t the most primitive surviving jawed fish either. New fossils are rattling the fish family tree.",Finding Our First Fish,,,,,,2016-01-19T00:00:00,https://hakaimagazine.com/features/finding-our-first-fish/
"In Scotland and around the world, archaeologists rush to understand ancient sites that climate change is both revealing and washing away.","What History Gives, the Sea Steals",59.249169,-2.605831,,,,2016-01-12T00:11:00,https://hakaimagazine.com/features/what-history-gives-sea-steals/
Coastal communities have watched the economic pendulum—and their futures—swing wildly when it comes to relying on seaweed as an industry. Is there a better way?,Seaweed Economics 101: Boom and Bust in the North Atlantic,,,,,,2016-01-05T00:11:00,https://hakaimagazine.com/features/seaweed-economics-101-boom-and-bust-north-atlantic/
For the holiday season we bring you a gift—the history of an extraordinary place.,The 12 Days of Christmas Island,-10.481060066746043,105.64590454101562,,,,2015-12-25T00:00:00,https://hakaimagazine.com/features/12-days-christmas-island/
"Spearfishing is a dangerous and often violent sport … but for some people, it’s also spiritual.",Spearfishing for the Soul,21.677825,-157.9497,,,,2015-12-21T00:00:00,https://hakaimagazine.com/features/spearfishing-soul/
"Tasmania’s Forestier and Tasman Peninsulas once segregated criminals from civilization. Now, they’ll isolate Tasmanian devils from a rampant disease that threatens to snuff out the species.",Devils Go to Prison,-42.90011,147.84218,,,"3,000 words, about 15 minutes",2015-12-14T00:11:00,https://hakaimagazine.com/features/devils-go-prison/
The rush to understand the hidden world of marine plankton.,It Really Is the Little Things in Life,,,,,,2015-12-07T00:11:00,https://hakaimagazine.com/features/it-really-little-things-life/
"Isolated in the North Atlantic, the people of Newfoundland and Labrador developed a subtle and beautiful lexicon to describe their environment.",The Unique Language of Newfoundland,48.535198,-56.14917,,,,2015-12-02T00:05:00,https://hakaimagazine.com/features/unique-language-newfoundland/
Science writer Andrew Lawler probes new ideas about how El Niño transformed ancient human societies—and what this means for our future.,The Civilizing Power of Nature,-10.899,-77.53126,,,,2015-11-30T00:00:00,https://hakaimagazine.com/features/civilizing-power-nature/
The inner workings of coastal storms—a phenomenon both terrifying and mesmerizing—that batter western Canada.,Storm Coast,49.151215,-125.9141,,,"4,200 words, about 21 minutes",2015-11-27T00:00:00,https://hakaimagazine.com/features/storm-coast/
Stories from the coast to share with the children in your life.,Eleven New Coastal-Themed Books for Kids,,,,,"1,000 words, about 5 minutes",2015-11-25T00:00:00,https://hakaimagazine.com/features/eleven-new-coastal-themed-books-kids/
Can Marshall Islanders whose lives are tied to the sea maintain their culture in Oklahoma?,Landlocked Islanders,7.0667,171.2667,,,"3,900 words, about 20 minutes",2015-11-16T00:11:00,https://hakaimagazine.com/features/landlocked-islanders/
"In the secretive world of Louisiana’s bayous, two kayakers look for the ivory-billed woodpecker and trade confidences about fathers, children, and growing old.",Down on the Bayou,30.043269,-90.34502,,,,2015-11-12T00:22:00,https://hakaimagazine.com/features/down-bayou/
"Before Europeans arrived, California’s Santa Cruz Island was an economic powerhouse for the Chumash people.",Secrets of a Small Island,34.010952,-119.7999,,,,2015-11-09T00:00:00,https://hakaimagazine.com/features/secrets-small-island/
"Three years after Superstorm Sandy slammed into New Jersey’s coast, few local communities want to accept that the Shore’s glory days are numbered.",Letting Go of Paradise,39.960677,-74.09713,,,,2015-10-29T00:11:00,https://hakaimagazine.com/features/letting-go-paradise/
How globalization of the seafood industry keeps consumers in the dark and prices down.,Fishonomics 101: the Illusion of Abundance,56.159229,2.2888972,,,,2015-10-26T00:11:00,https://hakaimagazine.com/features/fishonomics-101-illusion-abundance/
Foreign species hitchhiked across the Pacific on debris from the 2011 Japanese tsunami—now researchers along the North American coast are scrambling to detect them before they take hold.,Strangers on the Shore,46.342906,-124.0694,,,,2015-10-21T00:11:00,https://hakaimagazine.com/features/strangers-shore/
"On Öland, humans and grazing cattle have created a haven of biodiversity and preserved it for thousands of years.",A Swedish Island’s Rare Balancing Act,56.465946,16.49889,,,,2015-10-13T00:00:00,https://hakaimagazine.com/features/swedish-islands-rare-balancing-act/
"Forty years ago, the world’s whale researchers met in Indiana. The now legendary, but nearly forgotten, meeting changed the way scientists and the public see whales—and it all started with a few photographs.",Whales Through a New Lens,,,,,,2015-09-30T00:05:00,https://hakaimagazine.com/features/whales-through-new-lens/
"Dragged from the muck of a California bay, the original “peace boat” that sailed in 1958 to protest nuclear weapons is back. Sort of.",Peace: That Ship Has Sailed,40.719845,-124.2491,,,,2015-09-23T00:00:00,https://hakaimagazine.com/features/peace-ship-has-sailed/
Mega-quakes have periodically rocked North America’s Pacific Northwest. Indigenous people told terrifying stories about the devastation but refused to leave.,The Great Quake and the Great Drowning,46.722268,-123.9486,,,,2015-09-14T00:00:00,https://hakaimagazine.com/features/great-quake-and-great-drowning/
"The drought in California has created an obsession with water, but sometimes, no water is just fine.",Embracing the Weirdness of Waterless Waterways,37.167746,-121.4264,,,,2015-09-09T00:11:00,https://hakaimagazine.com/features/embracing-weirdness-waterless-waterways/
How hard is it for Americans to eat locally sourced seafood?,A Tale of Three Seafood Sandwiches,44.246736,-68.66525,,,,2015-09-02T00:00:00,https://hakaimagazine.com/features/tale-three-seafood-sandwiches/
"Faced with declining returns, hardy Georgia shrimpers hold tight to their traditions of pageantry and prayer.",The Blessing &#038; The Shrimp,31.363644,-81.43043,,,,2015-08-31T00:11:00,https://hakaimagazine.com/features/blessing-shrimp/
One small indigenous community is fighting the powers behind the Nicaragua Canal—will they win this round?,The Rama Versus the Canal,12.011082,-83.7677,,,,2015-08-27T00:00:00,https://hakaimagazine.com/features/rama-versus-canal/
"For two teenaged boys in the 1960s, fishing for crabs along the Virginia coast was a taste of freedom.",The Pull of Crabbing,37.34912,-76.89962,,,,2015-08-24T00:00:00,https://hakaimagazine.com/features/pull-crabbing/
